word            valence  arousal  dominance   valence%   arousal%  dominance%
pity            -0.680   -0.204    -0.772      16.0%      39.8%      11.4%
proud            0.812    0.400     0.746      90.6%      70.0%      87.3%
rage            -0.836    0.776     0.316       8.2%      88.8%      65.8%
relaxed          0.730   -0.910    -0.189      86.5%       4.5%      40.5%
revulsion       -0.792    0.530    -0.314      10.4%      76.5%      34.3%
sad             -0.550   -0.334    -0.702      22.5%      33.3%      14.9%
satisfaction     0.878    0.274     0.346      93.9%      63.7%      67.3%
scared          -0.708    0.656    -0.630      14.6%      82.8%      18.5%
sentimental      0.166   -0.244    -0.376      58.3%      37.8%      31.2%
shame           -0.880    0.340    -0.690       6.0%      67.0%      15.5%
shocked         -0.428    0.642    -0.094      28.6%      82.1%      45.3%
shy             -0.440   -0.694    -0.736      28.0%      15.3%      13.2%
sick            -0.792   -0.138    -0.728      10.4%      43.1%      13.6%
sorry           -0.188   -0.276    -0.576      40.6%      36.2%      21.2%
strong           0.824    0.490     0.790      91.2%      74.5%      89.5%
surprise         0.750    0.750     0.124      87.5%      87.5%      56.2%
support	 0.622 %  81.1 % -0.056 %   47.2%       0.474%	73.7%
terrible        -0.878    0.698     0.208       6.1%      84.9%      60.4%
touching         0.520   -0.122    -0.018      76.0%      44.0%      49.1%
trouble         -0.730    0.622    -0.096      13.5%      81.1%      45.2%
unbelievable     0.542    0.580     0.434      77.1%      79.0%      71.7%
upset           -0.858    0.360    -0.340       7.1%      68.0%      33.0%
wonderful        0.971    0.552     0.660      98.6%      77.6%      83.0%
worry           -0.510    0.552    -0.466      24.5%      77.6%      26.7%
